model,effort,n,usd,usd_se,usd_upper,usd_total,tokens,tokens_se,minutes
astra,low,23,1.7217,0.4142,3.2839,39.599052,0.8902,0.2861,4.2187
astra,medium,23,1.4813,0.1560,2.7910,34.070974,0.6842,0.0927,3.8226
astra,high,23,1.7111,0.1651,3.2172,39.35449,0.7675,0.1023,4.8999
astra,extra-high,23,2.3020,0.2443,4.2537,52.946512,0.9275,0.1347,8.0905
astra,max,23,2.5681,0.2839,4.6897,59.06695,0.9499,0.1647,10.2805
fable,low,23,7.9637,2.2181,7.9637,183.1655405,4.3841,1.7436,26.8970
fable,medium,23,9.1860,2.6597,9.1860,211.27822225,6.9722,3.2843,31.7213
fable,high,23,9.7016,2.3903,9.7016,223.13621875,5.4883,2.3264,28.7614
fable,extra-high,23,14.4856,4.2295,14.4856,333.16960625,11.4354,5.0326,38.7732
fable,max,23,9.0588,0.8700,9.0588,208.35155575,3.8233,0.8005,27.0964
muse,low,23,0.2173,0.0631,6.1867,4.997063876,25.5945,7.3554,70.2868
muse,medium,23,0.2666,0.0540,7.4414,6.131663564,29.7605,6.5554,68.7822
muse,high,23,0.2297,0.0548,7.2984,5.283458836,32.1582,8.4338,53.8443
muse,extra-high,23,0.1412,0.0425,4.4235,3.248699256,19.3046,5.1561,36.0355
devin,medium,23,0.0000,0.0000,0.0000,0.0,16.8023,4.7297,49.7790
devin,high,23,0.0000,0.0000,0.0000,0.0,9.7857,2.4329,41.3948
devin,max,23,0.0000,0.0000,0.0000,0.0,9.7305,1.1852,56.6418
muse,minimal,23,0.3313,0.1058,11.2994,7.61904639,52.8423,19.0745,133.8251
