model,effort,n,functional,functional_se,passed,minutes,minutes_se,combined,code_quality
astra,low,23,99.7100,0.2900,22,4.2187,0.9937,87.4325,70.3092
astra,medium,23,100.0000,0.0000,23,3.8226,0.2296,87.7262,71.1864
astra,high,23,100.0000,0.0000,23,4.8999,0.2038,88.1580,73.4751
astra,extra-high,23,100.0000,0.0000,23,8.0905,0.5845,89.1616,75.4749
astra,max,23,100.0000,0.0000,23,10.2805,0.5148,89.3033,76.2645
fable,low,23,96.1178,1.8769,19,26.8970,7.0421,89.1225,78.3565
fable,medium,23,97.5774,1.3546,20,31.7213,9.3720,90.1293,80.1382
fable,high,23,98.4578,0.9593,20,28.7614,6.8251,90.0689,80.8610
fable,extra-high,23,99.1304,0.8696,22,38.7732,10.4836,90.7543,81.9336
fable,max,23,100.0000,0.0000,23,27.0964,3.7641,91.8365,82.4337
muse,low,23,66.5822,8.9251,10,70.2868,20.7796,79.3253,64.8428
muse,medium,23,70.4626,8.4069,12,68.7822,13.1741,78.9572,63.6365
muse,high,23,75.6522,7.8654,13,53.8443,12.0362,80.7052,66.2370
muse,extra-high,23,76.8739,7.5057,14,36.0355,9.8199,77.4388,61.1804
muse,minimal,23,71.6570,7.0176,10,133.8251,42.8828,74.8381,62.0284
