model,effort,n,usd,usd_se,usd_upper,usd_total,tokens,tokens_se,minutes,fallbacks
astra,low,23,1.7217,0.4142,3.2839,39.599052,0.8902,0.2861,4.2187,0
astra,medium,23,1.4813,0.1560,2.7910,34.070974,0.6842,0.0927,3.8226,0
astra,high,23,1.7111,0.1651,3.2172,39.35449,0.7675,0.1023,4.8999,0
astra,extra-high,23,2.3020,0.2443,4.2537,52.946512,0.9275,0.1347,8.0905,0
astra,max,23,2.5681,0.2839,4.6897,59.06695,0.9499,0.1647,10.2805,0
sol,low,23,1.3592,0.1431,1.3592,31.260861,1.7940,0.2579,9.7752,0
sol,medium,23,1.7152,0.2603,1.7152,39.449459,2.2576,0.4316,11.0511,0
sol,high,23,2.0453,0.4849,2.0453,47.04226,2.8288,0.8387,12.0160,0
sol,extra-high,23,1.6092,0.2014,1.6092,37.010946,1.9126,0.3486,10.6191,0
sol,max,23,1.7735,0.1845,1.7735,40.79109,2.1118,0.3091,11.6052,0
terra,low,23,0.5764,0.0403,0.5764,13.2562268,1.2122,0.1085,6.6732,0
terra,medium,23,0.6863,0.0381,0.6863,15.7852668,1.4508,0.1103,7.8757,0
terra,high,23,1.1833,0.1310,1.1833,27.216388000000002,2.8606,0.4319,12.5891,0
terra,extra-high,23,2.1177,0.5862,2.1177,48.7082272,5.8556,1.9791,19.2392,0
terra,max,23,1.8822,0.3402,1.8822,43.2905996,4.6825,1.1229,19.7351,0
gpt55,low,23,1.7947,0.1927,1.7947,41.278273999999996,1.7154,0.2323,8.2103,0
gpt55,medium,23,2.7081,0.5017,2.7081,62.285519,2.7408,0.6351,12.4031,0
gpt55,high,23,4.1973,0.7645,4.1973,96.538087,4.5169,1.0053,18.2456,0
gpt55,extra-high,23,4.5626,0.5698,4.5626,104.939099,4.7186,0.7441,20.7838,0
luna,low,23,0.0240,0.0012,0.0240,0.551903,0.4229,0.0285,2.6625,0
luna,medium,23,0.0664,0.0044,0.0664,1.527156,1.3476,0.1197,7.3971,0
luna,high,23,0.2168,0.0291,0.2168,4.985676,5.8891,0.9906,20.9951,0
luna,extra-high,23,0.2747,0.0382,0.2747,6.318237,7.5818,1.3374,25.4294,0
luna,max,23,0.4484,0.1200,0.4484,10.312878,11.8830,3.4822,44.0992,0
