model,from,to,score_delta,quality_delta,passed_delta,cost_delta,runtime_delta
astra,low,medium,0.2937000000000012,0.877200000000002,1,-0.24039999999999995,-0.3961000000000001
astra,medium,high,0.4317999999999955,2.2886999999999915,0,0.2298,1.0772999999999997
astra,high,extra-high,1.0036000000000058,1.9998000000000076,0,0.5909,3.1906000000000008
astra,extra-high,max,0.14169999999998595,0.789599999999993,0,0.2660999999999998,2.1899999999999995
sol,low,medium,13.510899999999992,3.2121000000000066,6,0.3560000000000001,1.2759
sol,medium,high,3.197500000000005,-0.5459000000000032,8,0.33010000000000006,0.9649000000000001
sol,high,extra-high,0.7091999999999956,-0.33799999999999386,1,-0.43610000000000015,-1.3969000000000005
sol,extra-high,max,0.7132000000000005,0.2668000000000035,0,0.1643000000000001,1.0677000000000003
terra,low,medium,6.6480999999999995,-1.3888999999999925,3,0.1099,1.2025000000000006
terra,medium,high,10.331299999999999,2.9692000000000007,6,0.497,4.7134
terra,high,extra-high,6.778500000000008,-0.7609000000000066,3,0.9344000000000001,6.6501
terra,extra-high,max,5.595699999999994,-0.6146999999999991,9,-0.23550000000000004,0.4958999999999989
gpt55,low,medium,13.7365,2.900800000000004,2,0.9134,4.1928
gpt55,medium,high,6.381599999999992,-1.7210999999999999,4,1.4892000000000003,5.842499999999999
gpt55,high,extra-high,8.5347,4.7331,4,0.3652999999999995,2.5382
luna,low,medium,11.9912,-6.1447,1,0.0424,4.7346
luna,medium,high,17.937899999999992,0.20480000000000587,8,0.15039999999999998,13.598
luna,high,extra-high,7.897900000000007,2.2634999999999934,4,0.05790000000000001,4.4343
luna,extra-high,max,5.033000000000001,-2.7006999999999977,6,0.17370000000000002,18.669800000000002
