model,effort,n,combined,combined_se,code_quality,code_quality_se,readability,maintainability,l2,minutes,passed,fallbacks
astra,low,23,87.4325,0.5104,70.3092,1.0283,60.9601,72.9167,79.2980,4.2187,22,0
astra,medium,23,87.7262,0.3185,71.1864,0.9181,61.6848,74.0036,80.0989,3.8226,23,0
astra,high,23,88.1580,0.4248,73.4751,1.2433,63.9493,77.1739,81.2446,4.8999,23,0
astra,extra-high,23,89.1616,0.2971,75.4749,0.9368,67.8442,78.3514,81.8139,8.0905,23,0
astra,max,23,89.3033,0.3663,76.2645,0.8840,69.1123,79.8007,81.0857,10.2805,23,0
sol,low,23,69.0493,3.5024,64.9801,1.5615,57.4275,66.9384,72.4392,9.7752,6,0
sol,medium,23,82.5602,1.2458,68.1922,1.3027,61.2319,69.8370,75.2795,11.0511,12,0
sol,high,23,85.7577,0.9805,67.6463,1.1694,58.7862,67.7536,79.3165,12.0160,20,0
sol,extra-high,23,86.4669,0.8017,67.3083,1.3908,59.2391,67.8442,77.3526,10.6191,21,0
sol,max,22,87.1801,0.6243,67.5751,1.3901,59.7538,68.2765,77.0682,11.6868,21,0
terra,low,23,59.6999,3.4294,72.3150,1.5384,68.2971,73.1884,76.1972,6.6732,2,0
terra,medium,23,66.3480,3.8156,70.9261,1.5395,67.1196,71.0145,75.8838,7.8757,5,0
terra,high,23,76.6793,3.4669,73.8953,1.5028,70.0181,74.0942,78.6883,12.5891,11,0
terra,extra-high,23,83.4578,2.7227,73.1344,1.7625,67.9348,74.2754,78.5458,19.2392,14,0
terra,max,23,89.0535,0.7139,72.5197,1.9854,66.8478,72.9167,79.5530,19.7351,23,0
gpt55,low,23,49.8034,2.9303,61.7538,1.6343,56.2500,65.9420,63.5080,8.2103,1,0
gpt55,medium,23,63.5399,3.8413,64.6546,1.7245,57.0652,67.6630,70.7626,12.4031,3,0
gpt55,high,23,69.9215,3.8102,62.9335,1.6011,55.1630,65.5797,69.7658,18.2456,7,0
gpt55,extra-high,23,78.4562,2.5078,67.6666,1.4893,59.6014,69.4746,76.0095,20.7838,11,0
luna,low,23,41.2869,0.9566,71.7276,2.0187,64.8551,73.2790,80.8333,2.6625,0,0
luna,medium,23,53.2781,2.9402,65.5829,1.8740,62.2283,67.8442,66.4421,7.3971,1,0
luna,high,23,71.2160,3.7140,65.7877,1.2033,58.6051,67.8442,72.6225,20.9951,9,0
luna,extra-high,23,79.1139,3.0681,68.0512,1.4666,60.9601,69.0217,76.2119,25.4294,13,0
luna,max,23,84.1469,1.3494,65.3505,1.3332,55.7971,64.3116,79.4737,44.0992,19,0
