model,effort,n,judged,combined,combined_se,code_quality,passed,usd_per_task,minutes,opus48_reply_share_pct,fallback_runs
opus55,low,23,23,86.3631,1.3003,72.5336,17,1.6953,13.6903,0.00,0
opus55,medium,23,23,90.8635,0.6416,77.3171,23,2.8422,18.6446,6.38,3
opus55,high,23,22,91.1081,0.5658,77.9900,22,3.2694,21.4192,20.86,7
opus55,extra-high,23,23,90.6788,1.0968,79.9809,22,4.1116,20.7470,32.43,8
opus55,max,23,23,90.2197,1.0241,79.7695,21,8.7480,37.5113,47.78,12
astra,low,23,23,87.4325,0.5104,70.3092,22,1.7217,4.2187,,0
astra,medium,23,23,87.7262,0.3185,71.1864,23,1.4813,3.8226,,0
astra,high,23,23,88.1580,0.4248,73.4751,23,1.7111,4.8999,,0
astra,extra-high,23,23,89.1616,0.2971,75.4749,23,2.3020,8.0905,,0
astra,max,23,23,89.3033,0.3663,76.2645,23,2.5681,10.2805,,0
fable,low,23,23,89.1225,1.1538,78.3565,19,7.9637,26.8970,6.87,1
fable,medium,23,23,90.1293,0.9394,80.1382,20,9.1860,31.7213,34.09,3
fable,high,23,23,90.0689,0.7822,80.8610,20,9.7016,28.7614,23.93,2
fable,extra-high,23,23,90.7543,0.8210,81.9336,22,14.4856,38.7732,40.29,3
fable,max,23,23,91.8365,0.4651,82.4337,23,9.0588,27.0964,12.29,2
