model,effort,n,combined_v3,combined_v3_se,combined_20pct,code_quality,code_quality_se,readability,maintainability,intent_recovery,muse_l1,grok_l1,minutes,passed,fallbacks
terra,low,23,59.6999,3.4294,62.0294,72.3150,1.5384,68.2971,73.1884,76.1972,69.3841,72.1014,6.6732,2,0
terra,medium,23,66.3480,3.8156,68.8876,70.9261,1.5395,67.1196,71.0145,75.8838,67.9348,70.1993,7.8757,5,0
terra,high,23,76.6793,3.4669,78.7848,73.8953,1.5028,70.0181,74.0942,78.6883,71.9203,72.1920,12.5891,11,0
terra,extra-high,23,83.4578,2.7227,85.6210,73.1344,1.7625,67.9348,74.2754,78.5458,70.9239,71.2862,19.2392,14,0
terra,max,23,89.0535,0.7139,91.1897,72.5197,1.9854,66.8478,72.9167,79.5530,70.1993,69.5652,19.7351,23,0
luna,low,23,41.2869,0.9566,43.7175,71.7276,2.0187,64.8551,73.2790,80.8333,68.2065,69.9275,2.6625,0,0
luna,medium,23,53.2781,2.9402,56.4603,65.5829,1.8740,62.2283,67.8442,66.4421,64.1304,65.9420,7.3971,1,0
luna,high,23,71.2160,3.7140,74.3186,65.7877,1.2033,58.6051,67.8442,72.6225,62.1377,64.3116,20.9951,9,0
luna,extra-high,23,79.1139,3.0681,81.8711,68.0512,1.4666,60.9601,69.0217,76.2119,63.3152,66.6667,25.4294,13,0
luna,max,23,84.1469,1.3494,87.1840,65.3505,1.3332,55.7971,64.3116,79.4737,57.9710,62.1377,44.0992,19,0
